QueryText,KccAns
Farmer asked query on Weather," CLOUDY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మొబ్బులతో ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
FARMER ASKED QUERY ABOUT TAG-24 VARIETY GROUNDNUT DETAILS.,RECOMMENDED TO CONTACT-7702366115 FOR FURTHER DETAILS.
farmer asked about market information regarding chilli ?,"APMC's	  Commodity                               Min Price	Modal Price	Max Price  Unit	Date
GUNTUR	  CHILLI-DEVANURU DELUX      28,000	    29,799	           29,799     Qui	21-11-2022
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND  CHANCE OF RAIN
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Varieties Of  ground nut availability in prakasam,"KVK Address	Krishi Vigyan Kendra,-Agricultural Research Station,PO. DarsiDistt. Prakasam
Contact details	Dr N V V S Durga Prasad, Head KVK, Contact No.: +91-9989623827

KVK Address	Krishi Vigyan Kendra at Kandukur, Prakasam district
Contact details	Dr M Anuradha, Head KVK, Contact No.: +91-9494483554
Landline No	08598295544"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND  CHANCE OF RAIN
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
"
FARMER ASKED QUERY ABOUT RNR-15048 SUGAR LESS PADDY VARIETY DETAILS.,"RNR-15048 TELANGANA SONA -125 DAYS 
RESISTANT TO BLAST AND HAVE SHORT SLENDER FINE GRAINS.
KHARIF-6600 KG PER HECTARE AND RABI- 6200 KG PER HECTARE "
Farmer asked query on Weather," మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
"
Farmer asked query on sucking pest management in chilli,"RECOMMENDED TO SPRAY DIFENTHIURON(PEGASUS) 240 GM /150 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ 240 గ్రాములు /150 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి 
"
Farmer asked query on Weather," మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది 
"
   Farmer asked query on micro irrigation scheme," PLEASE CONTACT YOUR MANDAL horticulture OFFICER ABOUT this SCHEME
"
Farmer asked query on Weather,"  CLOUDY WEATHER,CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మొబ్బులతో ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
